roll_number,fee_type_name,course_code,academic_year_label,amount_due,due_date
AIML26B038,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B038,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A039,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A039,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B040,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B040,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A041,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A041,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B042,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B042,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A043,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A043,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B044,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B044,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A045,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A045,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B046,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B046,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A047,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A047,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B048,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B048,Examination Fee,BTECH,2026-27,2500,2026-08-25
CA26A049,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A049,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B050,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B050,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26A051,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A051,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B052,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B052,Examination Fee,BCA,2026-27,2500,2026-08-25
BA26A053,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A053,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B054,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B054,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26A055,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A055,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B056,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B056,Examination Fee,BBA,2026-27,2500,2026-08-25
AT26A057,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A057,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B058,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B058,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26A059,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A059,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B060,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B060,Examination Fee,BCOM,2026-27,2500,2026-08-25
SE26A061,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A061,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B062,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B062,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26A063,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A063,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B064,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B064,Examination Fee,MCA,2026-27,2500,2026-08-25
CSE26A065,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A065,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B066,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B066,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26A067,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A067,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B068,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B068,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A069,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A069,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B070,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B070,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A071,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A071,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B072,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B072,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A073,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A073,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B074,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B074,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A075,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A075,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B076,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B076,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A077,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A077,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B078,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B078,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A079,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A079,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B080,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B080,Examination Fee,BTECH,2026-27,2500,2026-08-25
CA26A081,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A081,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B082,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B082,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26A083,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A083,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B084,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B084,Examination Fee,BCA,2026-27,2500,2026-08-25
BA26A085,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A085,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B086,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B086,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26A087,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A087,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B088,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B088,Examination Fee,BBA,2026-27,2500,2026-08-25
AT26A089,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A089,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B090,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B090,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26A091,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A091,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B092,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B092,Examination Fee,BCOM,2026-27,2500,2026-08-25
SE26A093,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A093,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B094,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B094,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26A095,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A095,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B096,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B096,Examination Fee,MCA,2026-27,2500,2026-08-25
CSE26A097,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A097,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B098,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B098,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26A099,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A099,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B100,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B100,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A101,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A101,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B102,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B102,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A103,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A103,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B104,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B104,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A105,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A105,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B106,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B106,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A107,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A107,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B108,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B108,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A109,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A109,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B110,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B110,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A111,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A111,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B112,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B112,Examination Fee,BTECH,2026-27,2500,2026-08-25
CA26A113,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A113,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B114,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B114,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26A115,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A115,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B116,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B116,Examination Fee,BCA,2026-27,2500,2026-08-25
BA26A117,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A117,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B118,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B118,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26A119,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A119,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B120,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B120,Examination Fee,BBA,2026-27,2500,2026-08-25
AT26A121,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A121,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B122,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B122,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26A123,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A123,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B124,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B124,Examination Fee,BCOM,2026-27,2500,2026-08-25
SE26A125,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A125,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B126,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B126,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26A127,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A127,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B128,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B128,Examination Fee,MCA,2026-27,2500,2026-08-25
CSE26A129,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A129,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B130,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B130,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26A131,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A131,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B132,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B132,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A133,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A133,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B134,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B134,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A135,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A135,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B136,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B136,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A137,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A137,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B138,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B138,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A139,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A139,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B140,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B140,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A141,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A141,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B142,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B142,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A143,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A143,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B144,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B144,Examination Fee,BTECH,2026-27,2500,2026-08-25
CA26A145,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A145,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B146,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B146,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26A147,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A147,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B148,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B148,Examination Fee,BCA,2026-27,2500,2026-08-25
BA26A149,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A149,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B150,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B150,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26A151,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26A151,Examination Fee,BBA,2026-27,2500,2026-08-25
BA26B152,Tuition Fee,BBA,2026-27,42000,2026-08-15
BA26B152,Examination Fee,BBA,2026-27,2500,2026-08-25
AT26A153,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A153,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B154,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B154,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26A155,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26A155,Examination Fee,BCOM,2026-27,2500,2026-08-25
AT26B156,Tuition Fee,BCOM,2026-27,38000,2026-08-15
AT26B156,Examination Fee,BCOM,2026-27,2500,2026-08-25
SE26A157,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A157,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B158,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B158,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26A159,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26A159,Examination Fee,MCA,2026-27,2500,2026-08-25
SE26B160,Tuition Fee,MCA,2026-27,65000,2026-08-15
SE26B160,Examination Fee,MCA,2026-27,2500,2026-08-25
CSE26A161,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A161,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B162,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B162,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26A163,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26A163,Examination Fee,BTECH,2026-27,2500,2026-08-25
CSE26B164,Tuition Fee,BTECH,2026-27,85000,2026-08-15
CSE26B164,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A165,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A165,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B166,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B166,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26A167,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26A167,Examination Fee,BTECH,2026-27,2500,2026-08-25
AIML26B168,Tuition Fee,BTECH,2026-27,85000,2026-08-15
AIML26B168,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A169,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A169,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B170,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B170,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26A171,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26A171,Examination Fee,BTECH,2026-27,2500,2026-08-25
ECE26B172,Tuition Fee,BTECH,2026-27,85000,2026-08-15
ECE26B172,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A173,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A173,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B174,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B174,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26A175,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26A175,Examination Fee,BTECH,2026-27,2500,2026-08-25
MECH26B176,Tuition Fee,BTECH,2026-27,85000,2026-08-15
MECH26B176,Examination Fee,BTECH,2026-27,2500,2026-08-25
CA26A177,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A177,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B178,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B178,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26A179,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26A179,Examination Fee,BCA,2026-27,2500,2026-08-25
CA26B180,Tuition Fee,BCA,2026-27,45000,2026-08-15
CA26B180,Examination Fee,BCA,2026-27,2500,2026-08-25
