exam_name,academic_year_label,subject_code,max_marks,pass_marks,exam_date
Mid Semester Examination,2026-27,AIML202,50,20,2026-09-01
Mid Semester Examination,2026-27,AIML203,50,20,2026-09-02
Mid Semester Examination,2026-27,AIML204,50,20,2026-09-03
Mid Semester Examination,2026-27,AIML205,50,20,2026-09-04
Mid Semester Examination,2026-27,ECE101,50,20,2026-09-05
Mid Semester Examination,2026-27,ECE102,50,20,2026-09-06
Mid Semester Examination,2026-27,ECE103,50,20,2026-09-07
Mid Semester Examination,2026-27,ECE104,50,20,2026-09-08
Mid Semester Examination,2026-27,ECE105,50,20,2026-09-09
Mid Semester Examination,2026-27,ECE201,50,20,2026-09-10
Mid Semester Examination,2026-27,ECE202,50,20,2026-09-11
Mid Semester Examination,2026-27,ECE203,50,20,2026-09-12
Mid Semester Examination,2026-27,ECE204,50,20,2026-09-13
Mid Semester Examination,2026-27,ECE205,50,20,2026-09-14
Mid Semester Examination,2026-27,MECH101,50,20,2026-09-15
Mid Semester Examination,2026-27,MECH102,50,20,2026-09-16
Practical Assessment 1,2026-27,CSE101,50,20,2026-010-17
Practical Assessment 1,2026-27,CSE102,50,20,2026-010-18
Practical Assessment 1,2026-27,CSE103,50,20,2026-010-19
Practical Assessment 1,2026-27,CSE104,50,20,2026-010-20
Practical Assessment 1,2026-27,CSE105,50,20,2026-010-21
Practical Assessment 1,2026-27,CSE201,50,20,2026-010-22
Practical Assessment 1,2026-27,CSE202,50,20,2026-010-23
Practical Assessment 1,2026-27,CSE203,50,20,2026-010-24
Practical Assessment 1,2026-27,CSE204,50,20,2026-010-01
Practical Assessment 1,2026-27,CSE205,50,20,2026-010-02
Practical Assessment 1,2026-27,AIML101,50,20,2026-010-03
Practical Assessment 1,2026-27,AIML102,50,20,2026-010-04
Practical Assessment 1,2026-27,AIML103,50,20,2026-010-05
Practical Assessment 1,2026-27,AIML104,50,20,2026-010-06
Practical Assessment 1,2026-27,AIML105,50,20,2026-010-07
Practical Assessment 1,2026-27,AIML201,50,20,2026-010-08
Practical Assessment 1,2026-27,AIML202,50,20,2026-010-09
Practical Assessment 1,2026-27,AIML203,50,20,2026-010-10
Practical Assessment 1,2026-27,AIML204,50,20,2026-010-11
Practical Assessment 1,2026-27,AIML205,50,20,2026-010-12
Practical Assessment 1,2026-27,ECE101,50,20,2026-010-13
Practical Assessment 1,2026-27,ECE102,50,20,2026-010-14
Practical Assessment 1,2026-27,ECE103,50,20,2026-010-15
Practical Assessment 1,2026-27,ECE104,50,20,2026-010-16
Practical Assessment 1,2026-27,ECE105,50,20,2026-010-17
Practical Assessment 1,2026-27,ECE201,50,20,2026-010-18
Practical Assessment 1,2026-27,ECE202,50,20,2026-010-19
Practical Assessment 1,2026-27,ECE203,50,20,2026-010-20
Practical Assessment 1,2026-27,ECE204,50,20,2026-010-21
Practical Assessment 1,2026-27,ECE205,50,20,2026-010-22
Practical Assessment 1,2026-27,MECH101,50,20,2026-010-23
Practical Assessment 1,2026-27,MECH102,50,20,2026-010-24
Semester End Examination,2026-27,CSE101,100,40,2026-011-01
Semester End Examination,2026-27,CSE102,100,40,2026-011-02
Semester End Examination,2026-27,CSE103,100,40,2026-011-03
Semester End Examination,2026-27,CSE104,100,40,2026-011-04
Semester End Examination,2026-27,CSE105,100,40,2026-011-05
Semester End Examination,2026-27,CSE201,100,40,2026-011-06
Semester End Examination,2026-27,CSE202,100,40,2026-011-07
Semester End Examination,2026-27,CSE203,100,40,2026-011-08
Semester End Examination,2026-27,CSE204,100,40,2026-011-09
Semester End Examination,2026-27,CSE205,100,40,2026-011-10
Semester End Examination,2026-27,AIML101,100,40,2026-011-11
Semester End Examination,2026-27,AIML102,100,40,2026-011-12
Semester End Examination,2026-27,AIML103,100,40,2026-011-13
Semester End Examination,2026-27,AIML104,100,40,2026-011-14
Semester End Examination,2026-27,AIML105,100,40,2026-011-15
Semester End Examination,2026-27,AIML201,100,40,2026-011-16
Semester End Examination,2026-27,AIML202,100,40,2026-011-17
Semester End Examination,2026-27,AIML203,100,40,2026-011-18
Semester End Examination,2026-27,AIML204,100,40,2026-011-19
Semester End Examination,2026-27,AIML205,100,40,2026-011-20
Semester End Examination,2026-27,ECE101,100,40,2026-011-21
Semester End Examination,2026-27,ECE102,100,40,2026-011-22
Semester End Examination,2026-27,ECE103,100,40,2026-011-23
Semester End Examination,2026-27,ECE104,100,40,2026-011-24
Semester End Examination,2026-27,ECE105,100,40,2026-011-01
Semester End Examination,2026-27,ECE201,100,40,2026-011-02
Semester End Examination,2026-27,ECE202,100,40,2026-011-03
Semester End Examination,2026-27,ECE203,100,40,2026-011-04
Semester End Examination,2026-27,ECE204,100,40,2026-011-05
Semester End Examination,2026-27,ECE205,100,40,2026-011-06
Semester End Examination,2026-27,MECH101,100,40,2026-011-07
Semester End Examination,2026-27,MECH102,100,40,2026-011-08
