academic_year_label,teacher_employee_code,class_name,section_name,subject_code,day_of_week,start_time,end_time,room_no,is_active
2026-27,FAC011,CA Semester 2,A,CA202,wednesday,13:00,14:00,R-147,true
2026-27,FAC012,CA Semester 2,B,CA203,thursday,08:00,09:00,R-148,true
2026-27,FAC013,CA Semester 2,A,CA204,friday,09:00,10:00,R-149,true
2026-27,FAC014,CA Semester 2,B,CA205,monday,10:00,11:00,R-150,true
2026-27,FAC015,BA Semester 1,A,BA101,tuesday,11:00,12:00,R-151,true
2026-27,FAC016,BA Semester 1,B,BA102,wednesday,12:00,13:00,R-152,true
2026-27,FAC017,BA Semester 1,A,BA103,thursday,13:00,14:00,R-153,true
2026-27,FAC018,BA Semester 1,B,BA104,friday,08:00,09:00,R-154,true
2026-27,FAC019,BA Semester 1,A,BA105,monday,09:00,10:00,R-155,true
2026-27,FAC020,BA Semester 2,B,BA201,tuesday,10:00,11:00,R-156,true
2026-27,FAC021,BA Semester 2,A,BA202,wednesday,11:00,12:00,R-157,true
2026-27,FAC022,BA Semester 2,B,BA203,thursday,12:00,13:00,R-158,true
2026-27,FAC023,BA Semester 2,A,BA204,friday,13:00,14:00,R-159,true
2026-27,FAC024,BA Semester 2,B,BA205,monday,08:00,09:00,R-160,true
2026-27,FAC025,AT Semester 1,A,AT101,tuesday,09:00,10:00,R-161,true
2026-27,FAC026,AT Semester 1,B,AT102,wednesday,10:00,11:00,R-162,true
2026-27,FAC027,AT Semester 1,A,AT103,thursday,11:00,12:00,R-163,true
2026-27,FAC028,AT Semester 1,B,AT104,friday,12:00,13:00,R-164,true
2026-27,FAC029,AT Semester 1,A,AT105,monday,13:00,14:00,R-165,true
2026-27,FAC030,AT Semester 2,B,AT201,tuesday,08:00,09:00,R-166,true
2026-27,FAC031,AT Semester 2,A,AT202,wednesday,09:00,10:00,R-167,true
2026-27,FAC032,AT Semester 2,B,AT203,thursday,10:00,11:00,R-168,true
2026-27,FAC033,AT Semester 2,A,AT204,friday,11:00,12:00,R-169,true
2026-27,FAC034,AT Semester 2,B,AT205,monday,12:00,13:00,R-170,true
2026-27,FAC035,SE Semester 1,A,SE101,tuesday,13:00,14:00,R-171,true
2026-27,FAC036,SE Semester 1,B,SE102,wednesday,08:00,09:00,R-172,true
2026-27,FAC001,SE Semester 1,A,SE103,thursday,09:00,10:00,R-173,true
2026-27,FAC002,SE Semester 1,B,SE104,friday,10:00,11:00,R-174,true
2026-27,FAC003,SE Semester 1,A,SE105,monday,11:00,12:00,R-175,true
2026-27,FAC004,SE Semester 2,B,SE201,tuesday,12:00,13:00,R-176,true
2026-27,FAC005,SE Semester 2,A,SE202,wednesday,13:00,14:00,R-177,true
2026-27,FAC006,SE Semester 2,B,SE203,thursday,08:00,09:00,R-178,true
2026-27,FAC007,SE Semester 2,A,SE204,friday,09:00,10:00,R-179,true
2026-27,FAC008,SE Semester 2,B,SE205,monday,10:00,11:00,R-180,true
