barcode,book_title,roll_number,issued_on,due_date,status
LIB00089,Business Law: Concepts and Applications Vol 6,BA26B088,2026-07-09,2026-08-09,issued
LIB00090,Research Methodology: Concepts and Applications Vol 6,AT26A089,2026-07-10,2026-08-10,issued
LIB00091,Programming: Concepts and Applications Vol 7,AT26B090,2026-07-11,2026-08-11,issued
LIB00092,Data Structures: Concepts and Applications Vol 7,AT26A091,2026-07-12,2026-08-12,returned
LIB00093,Database Systems: Concepts and Applications Vol 7,AT26B092,2026-07-13,2026-08-13,issued
LIB00094,Operating Systems: Concepts and Applications Vol 7,SE26A093,2026-07-14,2026-08-14,issued
LIB00095,Computer Networks: Concepts and Applications Vol 7,SE26B094,2026-07-15,2026-08-15,issued
LIB00096,Artificial Intelligence: Concepts and Applications Vol 7,SE26A095,2026-07-16,2026-08-16,issued
LIB00097,Machine Learning: Concepts and Applications Vol 7,SE26B096,2026-07-17,2026-08-17,issued
LIB00098,Cloud Computing: Concepts and Applications Vol 7,CSE26A097,2026-07-18,2026-08-18,issued
LIB00099,Digital Electronics: Concepts and Applications Vol 7,CSE26B098,2026-07-19,2026-08-19,returned
LIB00100,Engineering Mathematics: Concepts and Applications Vol 7,CSE26A099,2026-07-20,2026-08-20,issued
LIB00101,Business Management: Concepts and Applications Vol 7,CSE26B100,2026-07-01,2026-08-01,issued
LIB00102,Financial Accounting: Concepts and Applications Vol 7,AIML26A101,2026-07-02,2026-08-02,issued
LIB00103,Marketing Management: Concepts and Applications Vol 7,AIML26B102,2026-07-03,2026-08-03,issued
LIB00104,Business Law: Concepts and Applications Vol 7,AIML26A103,2026-07-04,2026-08-04,issued
LIB00105,Research Methodology: Concepts and Applications Vol 7,AIML26B104,2026-07-05,2026-08-05,issued
LIB00106,Programming: Concepts and Applications Vol 8,ECE26A105,2026-07-06,2026-08-06,returned
LIB00107,Data Structures: Concepts and Applications Vol 8,ECE26B106,2026-07-07,2026-08-07,issued
LIB00108,Database Systems: Concepts and Applications Vol 8,ECE26A107,2026-07-08,2026-08-08,issued
LIB00109,Operating Systems: Concepts and Applications Vol 8,ECE26B108,2026-07-09,2026-08-09,issued
LIB00110,Computer Networks: Concepts and Applications Vol 8,MECH26A109,2026-07-10,2026-08-10,issued
LIB00111,Artificial Intelligence: Concepts and Applications Vol 8,MECH26B110,2026-07-11,2026-08-11,issued
LIB00112,Machine Learning: Concepts and Applications Vol 8,MECH26A111,2026-07-12,2026-08-12,issued
LIB00113,Cloud Computing: Concepts and Applications Vol 8,MECH26B112,2026-07-13,2026-08-13,returned
LIB00114,Digital Electronics: Concepts and Applications Vol 8,CA26A113,2026-07-14,2026-08-14,issued
LIB00115,Engineering Mathematics: Concepts and Applications Vol 8,CA26B114,2026-07-15,2026-08-15,issued
LIB00116,Business Management: Concepts and Applications Vol 8,CA26A115,2026-07-16,2026-08-16,issued
LIB00117,Financial Accounting: Concepts and Applications Vol 8,CA26B116,2026-07-17,2026-08-17,issued
LIB00118,Marketing Management: Concepts and Applications Vol 8,BA26A117,2026-07-18,2026-08-18,issued
LIB00119,Business Law: Concepts and Applications Vol 8,BA26B118,2026-07-19,2026-08-19,issued
LIB00120,Research Methodology: Concepts and Applications Vol 8,BA26A119,2026-07-20,2026-08-20,returned
LIB00001,Programming: Concepts and Applications Vol 1,BA26B120,2026-07-01,2026-08-01,issued
