course_code,class_name,branch_code,academic_year_label,semester,code,name,credits,is_active
BCOM,AT Semester 1,AT,2026-27,1,AT104,Taxation Basics,3,true
BCOM,AT Semester 1,AT,2026-27,1,AT105,Cost Accounting,3,true
BCOM,AT Semester 2,AT,2026-27,2,AT201,Financial Accounting II,4,true
BCOM,AT Semester 2,AT,2026-27,2,AT202,Business Law II,4,true
BCOM,AT Semester 2,AT,2026-27,2,AT203,Corporate Accounting II,4,true
BCOM,AT Semester 2,AT,2026-27,2,AT204,Taxation Basics II,3,true
BCOM,AT Semester 2,AT,2026-27,2,AT205,Cost Accounting II,3,true
MCA,SE Semester 1,SE,2026-27,1,SE101,Advanced Database Systems,4,true
MCA,SE Semester 1,SE,2026-27,1,SE102,Software Engineering,4,true
MCA,SE Semester 1,SE,2026-27,1,SE103,Cloud Computing,4,true
MCA,SE Semester 1,SE,2026-27,1,SE104,Machine Learning,3,true
MCA,SE Semester 1,SE,2026-27,1,SE105,Research Methodology,3,true
MCA,SE Semester 2,SE,2026-27,2,SE201,Advanced Database Systems II,4,true
MCA,SE Semester 2,SE,2026-27,2,SE202,Software Engineering II,4,true
MCA,SE Semester 2,SE,2026-27,2,SE203,Cloud Computing II,4,true
MCA,SE Semester 2,SE,2026-27,2,SE204,Machine Learning II,3,true
MCA,SE Semester 2,SE,2026-27,2,SE205,Research Methodology II,3,true
